iter	Passed	Remaining
0	2	259
1	5	251
2	7	238
3	9	219
4	11	215
5	13	211
6	15	207
7	17	204
8	20	207
9	22	203
10	24	199
11	26	195
12	28	191
13	30	187
14	32	184
15	34	182
16	36	180
17	38	177
18	41	174
19	42	171
20	44	168
21	46	164
22	47	160
23	49	157
24	51	154
25	53	151
26	54	147
27	55	143
28	57	139
29	58	136
30	59	133
31	61	130
32	62	126
33	63	123
34	64	119
35	65	116
36	66	113
37	67	110
38	68	107
39	70	105
40	71	102
41	71	98
42	72	96
43	73	94
44	75	91
45	76	89
46	77	87
47	78	84
48	79	82
49	80	80
50	81	78
51	82	76
52	83	74
53	84	72
54	85	69
55	86	67
56	87	66
57	88	64
58	90	62
59	91	60
60	92	59
61	93	57
62	95	55
63	96	54
64	97	52
65	98	50
66	100	49
67	101	47
68	102	46
69	104	44
70	105	43
71	106	41
72	107	39
73	109	38
74	110	36
75	111	35
76	112	33
77	113	32
78	114	30
79	115	28
80	117	27
81	118	25
82	119	24
83	120	23
84	122	21
85	123	20
86	124	18
87	125	17
88	126	15
89	127	14
90	129	12
91	130	11
92	131	9
93	132	8
94	133	7
95	134	5
96	135	4
97	136	2
98	138	1
99	139	0
